INGR_KOR_NAME,INGR_ENG_NAME,CAS_NO,ORIGIN_MAJOR_KOR_NAME,INGR_SYNONYM
피이지-70라놀린,PEG-70 Lanolin,,이 원료는 평균70몰의 에틸렌옥사이드를 갖는 라놀린의 폴리에틸렌 글라이콜 유도체이다.,
일랑일랑꽃수,Cananga Odorata Flower Water,,이 원료는 일랑일랑 Cananga odorata의 꽃을 수증기 증류하여 얻은 수용액이다.,
석곡잎/줄기추출물,Dendrobium Moniliforme Leaf/Stem Extract,,이 원료는 석곡 Dendrobium moniliforme의 잎 및 줄기에서 추출한 것이다.,
포도즙발효지게미오일,Vitis Vinifera (Grape) Fruit Juice Ferment Lees Oil,,이 원료는 발효된 포도(Grape) Vitis vinifera즙의 지게미에서 얻은 휘발성 오일이다.,
골든베리꽃받침추출물,Physalis Peruviana Calyx Extract,,이 원료는 골든베리 Physalis peruviana의 꽃받침에서 추출한 것이다.,
소듐스테아로일귀리단백질,Sodium Stearoyl Oat Protein,,이 원료는 스테아릭애씨드클로라이드와 귀리(Oat) Avena sativa커넬단백질의 축합반응물의 소듐염이다.,
호밀풀꽃추출물,Lolium Perenne Flower Extract,,이 원료는 호밀풀 Lolium perenne의 꽃에서 추출한 것이다.,
캣츠클로껍질가루,Uncaria Tomentosa Bark Powder,,이 원료는 캣츠클로 Uncaria tomentosa의 안쪽 껍질을 건조하여 가루로 한 것이다.,
프로필트라이모늄클로라이드아크릴아마이드/다이메틸아크릴아마이드코폴리머,Propyltrimoniumchloride Acrylamide/Dimethylacrylamide Copolymer,,이 원료는 다이메틸아크릴아마이드와 프로필트라이모늄메타크릴아마이드모노머들의 공중합체이다.,
하이드롤라이즈드꿀단백질,Hydrolyzed Honey Protein,,"이 원료는 산, 효소 혹은 다른 가수분해 방법으로 얻은 꿀단백질의 가수분해물이다.",
왕귤나무추출물,Citrus Grandis (Grapefruit) Extract,,이 원료는 왕귤나무(Grapefruit) Citrus grandis의 전초에서 추출한 것이다.,
"비스-에이치이에이폴리(글라이콜/1,4-부탄다이올아디페이트)/아이피디아이코폴리머","Bis-HEA Poly(Glycol/1,4-Butanediol Adipate)/IPDI Copolymer",,"이 원료는 1,4-부탄다이올아디페이트와 에틸렌글라이콜의 반응으로 생성된 중합체 및 아이소포론다이아이소시아네이트(IPDI)의 공중합체이며 말단이 2-하이드록시에틸아크릴레이트(HEA)로 치환되어 있다.",
코세스-20,Coceth-20,,이 원료는 주로 다음의 구조를 갖는 코코넛알코올의 폴리에틸렌글라이콜에터이며 R이 코코넛오일에서 유래된 지방알코올이고 n이 평균 20이다.,
마트리카리아꽃/라벤더꽃/레몬밤잎/로즈마리잎/살비아잎추출물,Chamomilla Recutita (Matricaria) Flower/Lavandula Angustifolia (Lavender) Flower/Melissa Officinalis Leaf/Rosmarinus Officinalis (Rosemary) Leaf/Salvia Officinalis (Sage) Leaf Extract,,"이 원료는 마트리카리아(Matricaria) Chamomilla recutita 및 라벤더(Lavender) Lavandula angustifolia의 꽃과, 레몬밤 Melissa officinalis, 로즈마리(Rosemary) Rosmarinus officinalis 및 살비아(Sage) Salvia officinalis의 잎에서 추출한 것이다.",
크리스핀목부오일,Bursera Graveolens Wood Oil,,이 원료는 크리스핀(Crispin) Bursera graveolens의 목부에서 얻은 휘발성 오일이다.,
다이리놀레아미도프로필다이메틸아민다이메티콘피이지-7포스페이트,Dilinoleamidopropyl Dimethylamine Dimethicone PEG-7 Phosphate,,이 원료는 다이메티콘피이지-7포스페이트의 다이리놀레아미도프로필다이메틸아민염이다.,
플랫레몬열매추출물,Citrus Depressa Fruit Extract,,이 원료는 플랫레몬 Citrus depressa의 열매에서 추출한 것이다.,
마돈나백합비늘줄기/큄비듐 그란디플로룸꽃/당아욱추출물,Lilium Candidum Bulb/Cymbidium Grandiflorum Flower/Malva Sylvestris Extract,,"이 원료는 마돈나백합 Lilium candidum의 비늘줄기, 난의 일종인 Cymbidium grandiflorum의 꽃 및 당아욱 Malva sylvestris의 전초에서 추출한 것이다.",마돈나백합비늘줄기/큄비듐 그랜디플로룸꽃/당아욱추출물
유럽라임나무꽃수,Tilia Vulgaris Flower Water,,이 원료는 유럽라임나무 Tilia vulgaris의 꽃을 수증기 증류하여 얻은 것이다.,
카카오껍질추출물,Theobroma Cacao (Cocoa) Shell Extract,,이 원료는 카카오(Cocoa) Theobroma Cacao의 껍질에서 추출한 것이다.,
마편초꽃수,Verbena Officinalis Flower Water,,이 원료는 마편초 Verbena officinalis의 꽃을 수증기 증류하여 얻은 수용액이다.,
하이드롤라이즈드알로에베라잎추출물,Hydrolyzed Aloe Barbadensis Leaf Extract,,"이 원료는 산, 효소 또는 다른 방법으로 알로에베라잎추출물을 가수분해한 것이다.",
칸디다 봄비콜라/피마자씨오일발효추출물,Candida Bombicola/Rapeseed Seed Oil Ferment Extract,,이 원료는 미생물인 칸디다 봄비콜라로 피마자씨오일을 발효하여 얻은 생성물을 추출한 것이다.,
황칠나무잎추출물,Dendropanax Morbiferus Leaf Extract,,이 원료는 황칠나무 Dendropanax morbiferus의 잎에서 추출한 것이다.,
대장균/글루코오스발효여과물,Escherichia Coli/Glucose Ferment Filtrate,,이 원료는 미생물인 대장균 Escherichia coli에서 얻은 글루코오스 발효로 얻은 생성물을 여과한 것이다.,
살구나무잎세포추출물,Prunus Armeniaca (Apricot) Leaf Cell Extract,,이 원료는 살구나무 Prunus armeniaca의 잎세포를 배양하여 추출한 것이다.,
포트마리골드씨오일,Calendula Officinalis Seed Oil,,이 원료는 포트마리골드 Calendula Officinalis의 씨를 압착하여 얻은 오일이다.,
촛대승마잎/줄기추출물,Cimicifuga Simplex Leaf/Stem Extract,,이 원료는 촛대승마 Cimicifuga simplex의 잎 및 줄기에서 추출한 것이다.,
쑥잎/밀겨추출물,Artemisia Princeps Leaf/Triticum Vulgare (Wheat) Bran Extract,,"이 원료는 쑥 Artemisia princeps(Artemisia asiatica)의 잎, 밀 Triticum vulgare겨에서 추출한 것이다.",
두날리엘라 바르다윌추출물,Dunaliella Bardawil Extract,,이 원료는 조류의 일종인 Dunaliella bardawil에서 추출한 것이다.,
하이드로제네이티드호두씨오일,Hydrogenated Walnut Seed Oil,,이 원료는 호두나무씨오일에 조건화 수소첨가반응을 하여 최종으로 얻은 것이다.,
카프릴릭/카프릭/팔미틱/스테아릭트라이글리세라이드,Caprylic/Capric/Palmitic/Stearic Triglyceride,,"이 원료는 카프릴릭, 카프릭, 팔미틱 및 스테아릭애씨드와 글리세린의 트라이에스터 혼합물이다.",
하이드롤라이즈드타마린드씨추출물,Hydrolyzed Tamarindus Indica Seed Extract,,"이 원료는 산, 효소 또는 다른 방법으로 타마린드 Tamarindus indica의 씨추출물을 가수분해 한 것이다.",
소듐(투쿰야자/아사이야자/야자)열매/(투쿰야자/야자)커넬/(야자/바바수/브라질넛/안디로바/카카오/페빌레아 트릴로바타/패션프룻/쿠푸아수)씨데이트,Sodium (Astrocaryum Vulgare/Euterpe Oleraceae/Palm) Fruit/(Astrocaryum Vulgare/Palm) Kernel/(Astrocaryum Murumuru/Babassu/Bertholletia Excelsa/Carapa Guianensis/Cocoa/Fevillea Trilobata/Passiflora Edulis/Theobroma Grandiflorum) Seedate,,"이 원료는 투쿰야자 Astrocaryum vulgare, 오일팜(palm) Elaeis guianeensis과 아사이야자 Euterpe oleracea의 열매; 투쿰야자 Astrocaryum vulgare, 오일팜(palm) Elaeis guineensis의 커넬; 야자 Astrocaryum murumuru, 브라질넛 Bertholletia excelsa, 안디로바 Carapa guianensis, Fevillea trilobata, 바바수(babassu) Orbignya speciosa, 패션프룻 Passiflora edulis, 카카오(cocoa) Theobroma cacao 및 쿠푸아쿠 Theobroma grandiflorum의 씨에서 유래된 오일을 소듐하이드록사이드로 검화하여 얻은 것이다.",소듐(투쿰야자/아사이야자/야자)열매/(투쿰야자/야자)커넬/(야자/바바수/브라질넛/안디로바/카카오/페빌레아 트릴로바타/패션프룻/쿠푸아쿠)씨데이트
오르누스물푸레씨추출물,Fraxinus Ornus Seed Extract,,이 원료는 오르누스물푸레 Fraxinus ornus의 씨에서 추출한 것이다.,
피피지-5토코페릴에터,PPG-5 Tocopheryl Ether,,이 원료는 다음의 구조를 갖는 토코페롤의 폴리프로필렌글라이콜에터이고 n은 평균5이다.,
소듐/알루미늄/아이런/설페이트/시트레이트/하이드록사이드,Sodium/Aluminum/Iron/Sulfate/Citrate/Hydroxide,,"이 원료는 알루미늄설페이트, 페릭설페이트, 소듐하이드록사이드 및 시트릭애씨드의 반응으로 얻은 것이다.",
폴리우레탄-27,Polyurethane-27,,이 원료는 폴리퍼플루오로에톡시메톡시다이플루오로하이드록시에틸에터 및 프리폴리머를 형성하기 위한 아이소포론다이아이소시아네이트(IPDI)와의 반응으로 형성된다. 그 후 프리폴리머는 3-하이드록시-2-(하이드록시메틸)-2-메틸-1-프로피오닉애씨드의 트라이에틸아민염과 반응한다.,
하이드로제네이티드밀배아오일불검화물,Hydrogenated Wheat Germ Oil Unsaponifiables,,이 원료는 밀배아오일불검화물에 조건화 수소첨가반응을 하여 최종으로 얻은 것이다.,
다이메틸올사이클로헥산다이벤조에이트,Dimethylolcyclohexane Dibenzoate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
에리오딕티온 크라시폴리움잎추출물,Eriodictyon Crassifolium Leaf Extract,,이 원료는 Eriodictyon crassifolium의 잎에서 추출한 것이다.,
노랑꽃창포잎추출물,Iris Pseudacorus Leaf Extract,,이 원료는 노랑꽃창포 Iris pseudacorus의 잎에서 추출한 것이다.,
스티그마스탄올말토사이드,Stigmastanol Maltoside,,이 원료는 스티그마스탄올과 말토스의 반응으로 얻은 에터이며 다음의 구조를 가진다. R은 말토스 그룹이다.,
아이소프로필리덴다이페닐비스옥시하이드록시프로필메타크릴레이트/티엠디아이코폴리머,Isopropylidenediphenyl Bisoxyhydroxypropyl Methacrylate/TMDI Copolymer,,이 원료는 아이소프로필리덴다이페닐비스옥시하이드록시프로필메타크릴레이트 및 트라이메틸헥사메틸렌다이아이소시아네이트(TMDI)모노머의 공중합체이다.,
가시오갈피뿌리수,Acanthopanax Senticosus (Eleuthero) Root Water,,이 원료는 가시오갈피(Eleuthero) Acanthopanax senticosus의 뿌리를 수증기 증류하여 얻은 수용액이다.,
에스에이치-폴리펩타이드-69,sh-Polypeptide-69,,이 원료는 대장균을 발효하여 얻은 단일사슬 합성휴먼펩타이드이다. 출발유전자는 Collagen Alpha-1 (III) Chain을 코딩하는 인간 유전자와 동일한 코드를 갖도록 합성된 것으로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 1466개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.,
어류혈장단백질,Fish Plasma Protein,,이 원료는 어류의 혈장에서 얻은 단백질이다.,
소듐판테테인설포네이트,Sodium Pantetheine Sulfonate,,이 원료는 다음의 구조를 갖는 판테테인의 분트염이다.,
아보카도열매수,Persea Gratissima (Avocado) Fruit Water,,이 원료는 아보카도(Avocado) Persea gratissima의 열매를 수증기 증류하여 얻은 수용액이다.,
피이지-11라우라마이드,PEG-11 Lauramide,,이 원료는 라우릭애씨드의 폴리에틸렌글라이콜아마이드로서 주로 다음의 구조를 갖는다. n은 평균 11이다.,
티이에이-C12-14알킬포스페이트,TEA-C12-14 Alkyl Phosphate,,이 원료는 탄소가 12-14개인 알킬사슬을 포함하는 합성 지방알코올과 포스포릭애씨드의 에스터의 복합 혼합물의 트라이에탄올아민염이다.,
월도잎오일,Alpinia Speciosa Leaf Oil,,이 원료는 월도 Alpiinia speciosa의 잎에서 얻은 휘발성 오일이다.,
카울레르파 라케모사추출물,Caulerpa Racemosa Extract,,이 원료는 조류의 일종인 Caulerpa racemosa에서 추출한 것이다.,
C12-13알케스-15,C12-13 Alketh-15,"160901-19-9,66455-14",이 원료는 에틸렌옥사이드가 평균 15몰인 합성 C12-13지방알코올 혼합물의 폴리에틸렌글라이콜에터이다.,
쐐기풀잎엑기스,Irakusa Ha Ekisu(JPN),,이 원료는 쐐기풀 Urtica thunbergiana 또는 스팅잉네틀 Urtica dioica의 잎에서 추출할 것이다.,
창질경이분열조직세포,Plantago Lanceolata Meristem Cell,,이 원료는 창질경이 Plantago lanceolata로부터 분리하여 배양된 분열조직세포이다.,
펜타펩타이드-2,Pentapeptide-2,,"이 원료는 알지닌, 글라이신, 아이소류신, 세린 및 타이로신을 포함하는 합성펩타이드이다.",
프로방스장미싹출물,Rosa Centifolia Bud Extract,,이 원료는 프로방스장미 Rosa centifolia의 싹에서 추출한 것이다.,
쉘락세라,Shellac Cera,,이 원료는 물질적인 방법으로 얻은 쉘락을 표백하여 얻은 왁스의 일부이다.,
하이드로제네이티드호동씨오일,Hydrogenated Calophyllum Inophyllum Seed Oil,,이 원료는 호동씨오일에 조건화 수소첨가반응을 하여 최종으로 얻은 것이다.,
제충국뿌리추출물,Tanacetum Cinerariifolium (Pyrethrum) Root Extract,,이 원료는 제충국 Tanacetum Cinerariifolium의 뿌리에서 추출한 것이다.,
오레가노잎/프로방스장미꽃추출물,Origanum Vulgare Leaf/Rosa Centifolia Flower Extract,,이 원료는 오레가노 Origanum vulgare의 잎과 프로방스장미 Rosa centifolia의 꽃에서 추출한 것이다.,불가레오레가노잎/프로방스장미꽃추출물
벤조익애씨드/프탈릭안하이드라이드/펜타에리스리톨/네오펜틸글라이콜/팔미틱애씨드코폴리머,Benzoic Acid/Phthalic Anhydride/Pentaerythritol/Neopentyl Glycol/Palmitic Acid Copolymer,,"이 원료는 프탈릭안하이드라이드, 펜타에리스리톨 및 네오펜틸글라이콜 모노머의 중합체와 벤조익애씨드 및 팔미틱애씨드의 혼합 에스터이다.",
아이오다이즈드하이드롤라이즈드익스텐신,Iodized Hydrolyzed Extensin,,이 원료는 아이오딘과 하이드롤라이즈드익스텐신의 반응으로 얻은 것이다.,
하이드롤라이즈드견사샘추출물,Hydrolyzed Silk Gland Extract,,"이 원료는 산, 효소 또는 다른 방법으로 견사샘추출물을 가수분해 한 것이다.",
알코르네아 코르디폴리아잎추출물,Alchornea Cordifolia Leaf Extract,,이 원료는 Alchornea cordifolia의 잎에서 추출한 것이다.,
글리세릴카프릴에터,Glyceryl Capryl Ether,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
카멜그라스수,Cymbopogon Schoenanthus Water,,이 원료는 카멜그라스 Cymbopogon schoenanthus의 전초를 수증기증류하여 얻은 수용액이다.,
다이메티콘에톡시글루코사이드,Dimethicone Ethoxy Glucoside,,이 원료는 하이드록시에틸글루코오스 중합체와 폴리다이메틸실록세인의 반응으로 형성된 실록세인 중합체이다.,
육계잎추출물,Cinnamomum Cassia Leaf Extract,,이 원료는 육계 Cinnamomum cassia의 잎에서 추출한 것이다.,
비단가열매추출물,Embelia Ribes Fruit Extract,,이 원료는 비단가 Embelia ribes의 열매에서 추출한 것이다.,
하이드롤라이즈드당아욱잎추출물,Hydrolyzed Mallow Leaf Extract,,"이 원료는 산, 효소 또는 다른 방법으로 당아욱 Malva sylvestris의 잎추출물을 가수분해 한 것이다.",
피이지-7코코글리세라이즈,PEG-7 Cocoglycerides,,이 원료는 평균 에톡실화 값이 7인 코코넛오일의 모노 및 다이글리세라이드의 폴리에틸렌글라이콜 유도체이다.,피이지-7코코글리세라이드
에스에이치-데카펩타이드-2,sh-Decapeptide-2,,"이 원료는 단백질인 상피세포성장인자의 일부와 동일하게 합성되어 생성된 단일사슬 휴먼펩타이드이며 알지닌, 시스테인, 글루타믹애씨드, 글라이신, 아이소류신, 타이로신 및 발린으로 구성된 10개의 아미노산으로 이루어져 있다.",
멘헤이든오일,Menhaden Oil,,이 원료는 북대서양의 청어과 물고기의 일종인 Brevoortia tyrannus에서 얻은 오일이다.,
펜타펩타이드-14,Pentapeptide-14,,"이 원료는 글라이신, 류신 및 라이신을 포함하는 합성 펩타이드이다.",
포타슘페르플루오로헥실에틸포스페이트,Potassium Perfluorohexyl Ethylphosphate,,이 원료는 페르플루오로헥실에탄올과 포스포릭애씨드의 에스터의 복합혼합물의 포타슘염이다.,
버독뿌리수,Arctium Majus Root Water,,이 원료는 버독 Arctium majus의 뿌리에서 수증기 증류하여 얻은 수용액이다.,
C40-60알케스-10,C40-60 Alketh-10,246538-86-3,이 원료는 평균 10몰인 에틸렌옥사이드와 탄소 40-60개인 합성 알코올 혼합물의 폴리에틸렌글라이콜에터이다.,
효모/아연/철/게르마늄/구리/마그네슘/실리콘발효물,Saccharomyces/Zinc/Iron/Germanium/Copper/Magnesium/Silicon Ferment,,"이 원료는 실리콘, 아연, 철, 게르마늄, 구리, 마그네슘 이온의 존재하에 효모를 발효시켜 얻은 것이다.",
프로필렌글라이콜소이에이트,Propylene Glycol Soyate,,이 원료는 프로필렌글라이콜과 소이애씨드의 에스터이다.,
펜타펩타이드-30시스테인아마이드,Pentapeptide-30 Cysteinamide,,이 원료는 펜타펩타이드-30와 시스테인의 반응으로 얻은 생성물이다.,
올리브불검화물,Olea Europaea (Olive) Fruit Unsaponifiables,,이 원료는 분별증류 후 남아있는 올리브나무(Olive) Olea europaea열매의 일부이다.,
모소밤부잎추출물,Phyllostachys Edulis Leaf Extract,,이 원료는 모소밤부 Phyllostachyl edulis의 잎에서 추출한 것이다.,
골든실가루,Hydrastis Canadensis (Goldenseal) Powder,,이 원료는 골든실(Goldenseal) Hydrastis canadensis를 건조하고 분쇄하여 얻은 가루이다.,
헥사펩타이드-60,Hexapeptide-60,,"이 원료는 알지닌, 아스파틱애씨드, 류신, 발린 및 타이로신으로 구성된 합성 펩타이드이다.",
왕질경이캘러스배양추출물,Plantago Major Callus Culture Extract,,이 원료는 왕질경이 Plantago major의 캘러스배양물을 추출한 것이다.,
서양민들레꽃추출물,,,이 원료는 서양민들레(Taraxacum Officinale)의 꽃에서 추출한 것이다.,
서양송악줄기추출물,Hedera Helix (Ivy) Stem Extract,,이 원료는 서양송악(Ivy) Hedera helix의 줄기에서 추출한 것이다.,
하이드로제네이티드전분추출물,Hydrogenated Starch Extract,,이 원료는 전분에 조건화 수소첨가반응을 하여 얻은 것을 추출한 것이다.,
쿠르쿠마 우에뉘우진/쿠르쿰 크왕시엔시스뿌리줄기추출물,Curcuma Wenyujin/Curcuma Kwangsiensis Rhizome Extract,,이 원료는 Curcuma wenyujin와 Curcuma kwangsiensis의 뿌리줄기에서 추출한 것이다.,
뿔남천꽃/잎/줄기추출물,Mahonia Aquifolium Flower/Leaf/Stem Extract,,"이 원료는 뿔남천 Mahonia aquifolium의 꽃, 잎 및 줄기에서 추출한 것이다.",
샤타바리뿌리,Asparagus Racemosus Root,,이 원료는 샤타바리 Asparagus racemosus의 뿌리이다.,
산박하가지/잎추출물,Isodon Inflexus Branch/Leaf Extract,,이 원료는 산박하 Isodon inflexus의 가지 및 잎에서 추출한 것이다.,
소듐포스포노-피리독실리덴로다닌,Sodium Phosphono-Pyridoxylidenerhodanine,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
세리아/실리카,Ceria/Silica,,이 원료는 세륨카보네이트와 실리카를 소성(Calcination)하여 얻은 것이다.,
신양벚나무열매수,Prunus Cerasus (Bitter Cherry) Fruit Water,,이 원료는 신양벚나무 Prunus cerasus의 열매를 수증기 증류하여 얻은 수용액이다.,
에스에이치-폴리펩타이드-56,sh-Polypeptide-56,,이 원료는 대장균을 발효하여 얻은 단일사슬 합성휴먼펩타이드이다. 출발유전자는 Polyhomeotic-like Protein 1을 코딩하는 인간 유전자와 동일한 코드를 갖도록 합성된 것으로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 1004개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.,
귤껍질수,Citrus Unshiu Peel Water,,이 원료는 귤 Citrus unshiu의 껍질을 수증기 증류하여 얻은 수용액이다.,
호밀씨가루,Secale Cereale (Rye) Seed Flour,,이 원료는 호밀(Rye) Secale cereale의 씨를 곱게 갈아 얻은 가루이다.,
소듐코코일하이드롤라이즈드케라틴,Sodium Cocoyl Hydrolyzed Keratin,,이 원료는 코코넛애씨드클로라이드 및 하이드롤라이즈드케라틴 축합물의 소듐염이다.,
동백나무꽃/잎/씨수,Camellia Japonica Flower/Leaf/Seed Water,,"이 원료는 동백나무 Camellia japonica의 꽃, 잎 및 씨를 수증기 증류하여 얻은 수용액이다.",
아네톨레아 아니사타잎추출물,Anetholea Anisata Leaf Extract,,이 원료는 Anetholea anisata의 잎에서 추출한 것이다.,
하이드롤라이즈드카카오씨버터,Hydrolyzed Theobroma Cacao (Cocoa) Seed Butter,,"이 원료는 산, 효소 또는 다른 가수분해 방법으로 얻은 카카오씨버터의 가수분해물이다.",
글리세릴라우레이트에스이,Glyceryl Laurate SE,,이 원료는 약간의 소듐 및/또는 포타슘라우레이트를 갖는 자기유화형 글리세릴라우레이트이다.,
참깨씨버터,Sesamum Indicum (Sesame) Seed Butter,,이 원료는 참깨 Sesamum indicum의 씨에서 얻은 지방이다.,
밀겨,Triticum Vulgare (Wheat) Bran,,이 원료는 밀(Wheat) Triticum vulgare 낟알의 껍질을 부순 것이다.,
효모/두송열매수발효여과물,Saccharomyces/Juniperus Communis Fruit Water Ferment Filtrate,,이 원료는 미생물인 Saccharomyces로 두송열매수를 발효하여 얻은 생성물을 여과한 것이다.,
피피지-1데세스-4,PPG-1-Deceth-4,,"이 원료는 주로 다음의 구조를 갖는 데실알코올의 폴리옥시에틸렌, 폴리옥시프로필렌에터이며 x가 평균 1이고 y가 평균 4이다.",
창포뿌리줄기추출물,Acorus Calamus Rhizome Extract,,이 원료는 창포 Acorus calamus의 뿌리줄기에서 추출한 것이다.,
퍼플루오로카프릴릴트라이에톡시실릴에틸메티콘,Perfluorocaprylyl Triethoxysilylethyl Methicone,,이 원료는 다음의 구조를 갖는 실록산폴리머이다.,
옥타펩타이드-25,Octapeptide-25,,"이 원료는 알라닌, 아스파틱애씨드, 글라이신, 세린 및 프롤린으로 구성된 합성 펩타이드이다.",
남가새열매가루,Tribulus Terrestris Fruit Powder,,이 원료는 남가새 Tribulus terrestris의 열매를 건조하여 가루로 한 것이다.,
쿠쿠이나무껍질추출물,Aleurites Moluccanus Bark Extract,,이 원료는 쿠쿠이나무 Aleurites moluccanus의 나무껍질에서 추출한 것이다.,
코튼씨드애씨드,Cottonseed Acid,,이 원료는 코튼씨오일에서 유래한 지방산의 혼합물이다.,
메티오닐에스에이치-폴리펩타이드-7다이펩타이드-19에스알-거미폴리펩타이드-4헥사펩타이드40,Methionyl sh-Polypeptide-7 Dipeptide-19 sr-Spider Polypeptide-4 Hexapeptide 40,,"이 원료는 대장균을 발효하여 얻은 단일사슬 재조합 융합 펩타이드이다. 출발유전자는 에스에이치-폴리펩타이드-7, 다이펩타이드-19 및 에스알-거미폴리펩타이드-4의 유전자를 융합하여 메티오닌 개시코드를 갖도록 합성한 것이다. 융합된 펩타이드는 표준아미노산으로 구성된 217개의 아미노산으로 이루어져 있다.",
소듐스테아로일콩단백질,Sodium Stearoyl Soy Protein,,이 원료는 스테아릭애씨드클로라이드와 돌콩단백질의 축합반응물의 소듐염이다.,
카모밀라 불가리스추출물,Chamomilla Vulgaris Extract,,이 원료는 Chamomilla vulgaris의 전초에서 추출한 것이다.,
눈꽃동충하초/인삼발효여과물,Paecilomyces Japonica/Panax Ginseng Root Ferment Filtrate,,이 원료는 미생물인 눈꽃동충하초 Paecilomyces japonica로 인삼 Panax ginseng의 뿌리를 발효하여 얻은 생성물을 여과한 것이다.,
허캠퓨리잎추출물,Gentianella Alborosea Leaf Extract,,이 원료는 허캠퓨리 Gentianella alborosea의 잎에서 추출한 것이다.,
붓순나무가지/잎추출물,Illicium Religiosum Branch/Leaf Extract,,이 원료는 붓순나무 Illicium religiosum의 가지 및 잎에서 추출한 것이다.,
인도키노나무잎추출물,Pterocarpus Marsupium Leaf Extract,,이 원료는 인도키노나무 Pterocarpus marsupium의 잎에서 추출한 것이다.,
피피지-5C12-14Sec-알케스-9,PPG-5 C12-14 Sec-Alketh-9,,"이 원료는 합성 2급 C12-14알코올 혼합물의 폴리옥시에틸렌, 폴리옥시프로필렌에터이다. 에톡실화 값은 평균 9, 프로폭실화 값은 평균 5이다",
귤/당귤나무/만다린열매추출물,Citrus Unshiu/Sinensis/Reticulata Fruit Extract,,"이 원료는 귤 Citrus unshiu, 당귤나무 Citrus sinensis 및 만다린 Citrus reticulata의 열매에서 추출한 것이다.",
부겐빌레아잎세포추출물,Bougainvillea Glabra Leaf Cell Extract,,이 원료는 부겐빌레아 Bougainvillea glabra의 잎세포를 배양하여 추출한 것이다.,
코네모르파 마크로필라뿌리추출물,Chonemorpha Macrophylla Root Extract,,이 원료는 Chonemorpha macrophylla의 뿌리에서 추출한 것이다.,
실리콘쿼터늄-25,Silicone Quaternium-25,,"이 원료는 글라이시독시 말단의 폴리다이메틸실록세인과 2-아미노프로필 그룹을 말단으로 가진 피이지-39/피피지-6 블록공중합체 및 N,N,N',N'-테트라메틸-1,6-헥산다이아민의 반응으로 얻은 복합중합체이다. 트라이메틸아민은 캡핑제로, 라우릭애씨드와 아세틱애씨드는 잔류 아민그룹의 중화에 사용된다.",
자바플럼열매추출물,Eugenia Cumini Fruit Extract,,이 원료는 자바플럼 Eugenia cumuni의 열매에서 추출한 것이다.,
빵나무목부추출물,Artocarpus Altilis Wood Extract,,이 원료는 빵나무 Artocarpus altilis의 목부에서 추출한 것이다.,
오레가노오일,Origanum Vulgare Oil,,이 원료는 오레가노 Origanum vulgare의 전초에서 얻은 휘발성 오일이다.,
퀴클로카뤼아 팔리우루스잎추출물,Cyclocarya Paliurus Leaf Extract,,이 원료는 Cyclocarya paliurus의 잎에서 추출한 것이다.,
우엉뿌리가루,Arctium Lappa Root Powder,,이 원료는 우엉 Arctium lappa의 뿌리를 건조하여 가루로 한 것이다.,
판토에아 아글로메란스/밀가루발효추출물,Pantoea Agglomerans/Wheat Flour Ferment Extract,,이 원료는 Pantoea agglomerans로 밀가루를 발효하여 얻은 생성물을 추출한 것이다.,
살비아꽃/잎/줄기추출물,Salvia Officinalis (Sage) Flower/Leaf/Stem Extract,,"이 원료는 살비아(Sage) Salvia officinalis의 줄기, 잎 및 꽃에서 추출한 것이다.",
보로호열매즙,Borojoa Patinoi Fruit Juice,,이 원료는 보로호 Borojoa patinoi의 열매에서 압착한 즙이다.,
산사나무꽃추출물,,,이 원료는 산사나무 Crataegus pinnatifida의 꽃에서 추출한 것이다.,
부타다이엔/아이소프렌코폴리머,Butadiene/Isoprene Copolymer,,이 원료는 부타다이엔 및 아이소프렌모노머의 공중합체이다.,
셀라스트러스씨추출물,Celastrus Paniculatus Seed Extract,,이 원료는 셀라스트러스 Celastrus paniculatus의 씨에서 추출한 것이다.,
장미꽃,Rosa Hybrid Flower,,이 원료는 장미 Rosa hybrid의 꽃이다.,
키투르스 순코칸껍질추출물,Citrus Shunkokan Peel Extract,,이 원료는 Citrus shunkokan의 열매껍질에서 추출한 것이다.,
카테츄잎/목부가루,Acacia Catechu Leaf/Wood Powder,,이 원료는 카테츄 Acacia catechu의 목부와 잎을 건조하여 가루로 한 것이다.,
부틸아미노에틸메타크릴레이트크로스폴리머,Butylaminoethyl Methacrylate Crosspolymer,,이 원료는 부테인다이올다이아크릴레이트로 가교된 부틸아미노에틸메타크릴레이트의 공중합체이다.,
유문암추출물,Rhyolite Extract,,이 원료는 화산석의 일종인 유문암 Rhyolite에서 추출한 것이다.,
스피어민트잎즙,Mentha Viridis (Spearmint) Leaf Juice,,이 원료는 스피어민트(Spearmint) Mentha viridis의 잎을 압착하여 얻은 즙이다.,
